SPID,PN-P1,PN-P2,PN-LL1,PN-LL2,PN-LL3,PN-PC1,PN-U1,PN-U2,PN-U3,PN-U4,PN-H1,PN-H2,PN-QP1,PN-QP2,PN-QP3,PN-QP4,PN-QC1,PN-QC2,PN-QC3,PN-T1,PN-T2
1,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,0.333333333,,0.333333333,,,,,,,,,,,
3,,,,,1.666666667,1.333333333,,,,,,0.333333333,,0.666666667,,,,,,,
4,1.333333333,,,1,,,,,,2,,,,,,,,,,,
5,,2.666666667,3.333333333,,,,1.666666667,,,,,,,,,,,,,,1.666666667
6,,1.666666667,0.666666667,,0,0.666666667,0.333333333,0.333333333,,,,,,,,,,,,,
7,1,1.666666667,,,0.666666667,1.666666667,1.333333333,,,,2.333333333,,2.666666667,,,,,,3,0.666666667,1.666666667
8,,,,,,,,,,0.333333333,,,,,,,,,,,
9,1,,,,,,,,,,,,,0.666666667,,,,1.333333333,,,0.333333333
10,,,,,,,,,,,,,,,,,,,,,
11,,,0.666666667,,,1.333333333,,1,,1,,,1.666666667,,1.333333333,,0.666666667,0.333333333,1.333333333,,
12,1.666666667,,,,,,,,,,,4.333333333,2,,,,,,,,
13,,,3,,1.333333333,,2.333333333,4,,8.333333333,,3,,1.333333333,4.666666667,,,1.333333333,,,2.666666667
14,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,0,,,,,,,,,,,,,
16,,,,,,,,,,,,,,0.333333333,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,
18,5.333333333,0.666666667,2.333333333,3.666666667,2.666666667,2.333333333,1.333333333,2.666666667,,2.333333333,0.666666667,1,1.666666667,,,,,2.666666667,3.666666667,1,3.333333333
19,,4.333333333,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,0.333333333,0.333333333,
21,,,,1.333333333,,,,,,0.666666667,,0.333333333,,,,,,,,,
22,,,,1.333333333,,,0.666666667,,,,,,,,,,,,,,
23,,,,1.666666667,,,2,,,,,,,,,,,,,,
24,,,,,,,0.666666667,,,,,2.333333333,,,,,,,,,
25,0.333333333,,1.666666667,4,6.333333333,,,1,,1.333333333,,11.66666667,,0.333333333,,,2.666666667,,0.666666667,0.666666667,0.333333333
26,,,,4,5.666666667,1.333333333,,,,2.666666667,,,,,,,4.666666667,7.333333333,7.333333333,4,4.333333333
27,,0.666666667,1.333333333,3,,0.666666667,,,,,,1.666666667,,,,,,2,0,,
28,,1,,,,,,,,,,,,,,,,,0.333333333,,
29,0.666666667,2.666666667,5.666666667,3,2.666666667,4.333333333,,11,,2.666666667,1.333333333,3,3.666666667,15.66666667,7.666666667,,7.666666667,2.333333333,1,,6.333333333
30,,,,,,0.666666667,,,,,,,,4.666666667,5,,,,0.333333333,,
31,,,,,,,0.666666667,,,,,,,,,,,,,,
32,,,3.333333333,,0.333333333,,,5.333333333,,2,,9.333333333,,17.66666667,11,,,2.666666667,1,,
33,1.666666667,1.333333333,2.666666667,,0.333333333,1,,1.333333333,,,,3.333333333,1.666666667,,0.666666667,,2.333333333,,,,1.333333333
34,,,0.666666667,,,,,,,,0.333333333,,2,,,,,,,0.333333333,0.333333333
35,,1.333333333,3,1.666666667,4,5.333333333,1.666666667,13,,2.666666667,3,,8.666666667,3.333333333,9,,7,12,7.333333333,5.666666667,9
36,18.33333333,,2.666666667,7.333333333,,2.333333333,,,,,,,,1,9.666666667,,,1,11,2.666666667,
37,,,2,,,,,,,,,,,,,,,,,,
38,4,1,,,4,,,6.333333333,,3,2.333333333,0.666666667,2.666666667,,1.666666667,,7.666666667,6.333333333,,4.666666667,4.666666667
39,,,1.666666667,1.666666667,,,,,,,,,,,,,3,,,,
40,2.666666667,2,1.666666667,,5.333333333,2.666666667,2,,,,,3,,,,,3.666666667,,,,
41,,,,,,,2,,,,,,,,,,,,,,
42,0.333333333,,,,,,5,,,,,,2.333333333,,,,,,,,0.666666667
43,,,,,,,,,,,,,,,,,,,,,0.333333333
44,,,,,,,1.333333333,,,,,,0.333333333,,,,,,,,
45,,16.33333333,1.333333333,,2,5.666666667,5,,,,13.66666667,,5.666666667,,,,,,,,3
46,,0.666666667,0,1,1.666666667,3,,,,,3,,1.333333333,,7.666666667,,7.333333333,4.333333333,0.666666667,,0.333333333
47,,3.333333333,,,,,1.333333333,,,,,,,,,,,,,,
48,,0.333333333,,,,,,,,,,,,,,,,,,,
49,,,0.666666667,,,,,1,,,,,,,1.333333333,,2,,,2.333333333,2.333333333
50,,,,,,,3.333333333,,,,0.666666667,,,,,,0.666666667,,,,
51,,,,,,,,,,,,,,,,,,,,,
52,4.666666667,,,6,6.666666667,2.666666667,,4.333333333,,7.333333333,,6.333333333,,,,,2.666666667,4,2,8,2
53,,,2.333333333,,,,,,,,,,,,,,,,,1,5.333333333
54,,,,,0.666666667,1,,,,,,,1,1,,,,1,2.666666667,,0.666666667
55,,,,,,,,,,,,,,,,,,,,,
56,,1.333333333,,1,,,2.333333333,,,,,,,,,,,,,,
57,,,,,,,,,,,,,2,,,,2,,,,
58,,,,,,,,,,,,2.333333333,,3.333333333,,,1.666666667,,0.666666667,,1
59,1.333333333,,,3,,0.666666667,,,,1,,,,,,,,,,,
60,,0.666666667,6.333333333,5.333333333,2.666666667,,,,,,,7.333333333,,3,4,,2.666666667,2.666666667,5,,2.666666667
61,,,,,,3.666666667,,12.33333333,,3,,,,,,,,,,0.666666667,
62,,1,,,0.666666667,1.666666667,,1,,2.333333333,,,,,,,3.666666667,,2.666666667,0.333333333,
63,4,,,12.66666667,,,,4,,5.333333333,,0.666666667,,0.666666667,,,2,2,3,2.333333333,
64,,,,,,,,,,,,,,,,,,,,,
65,,,,,,1,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,
67,3.666666667,1.333333333,1.333333333,6.666666667,0.666666667,,,0.666666667,,,1.333333333,,,,1,,3,2.333333333,3,5.333333333,1.666666667
68,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,2.666666667,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,
71,,,,,,0.666666667,2.666666667,,,,,,3.666666667,,,,,,,,
72,,0.666666667,,,,,,,,0.666666667,,,,,,,2,,,,2.666666667
73,,,,,,,,0.666666667,,,,,1.666666667,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,
75,,,,,,1.333333333,,,,1.333333333,,,,,,,,,,,4
76,,,0.666666667,,,1,,,,,,,,,,,,1.333333333,,,
77,,,,,,,,2,,,,,,,,,,,,,
78,,1,,,,,,,,,,,,,,,,,,,
79,,0.666666667,,0.666666667,2.666666667,3.333333333,,0.666666667,,1.666666667,1,,,,,,,,,1.333333333,2.666666667
80,0.666666667,,,9,0.666666667,2.333333333,,,,,,,,,,,,,,,
81,6,2,6,2.666666667,8.333333333,2.333333333,0.666666667,3.333333333,,3.666666667,18,5,9.333333333,0.333333333,7,,5,9.666666667,11,9.666666667,3.333333333
82,3,4.666666667,2,3.333333333,2.666666667,5.666666667,,0.333333333,,1.666666667,5.333333333,3.666666667,,1.333333333,3,,1,1.333333333,0.666666667,5.666666667,4.333333333
83,,,,,,,,,,,,,,,,,1,,,,
84,,,,,,,3.666666667,,,,,,,,,,,,,,
85,,0.666666667,1,,1.333333333,2,,,,,0.666666667,,,,,,,,0.333333333,,1
86,,,,,,,,,,,,,8.666666667,,,,1.333333333,,,,
87,,,,,1,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,2.333333333,3,0.666666667
89,,1.666666667,1.333333333,,,,14.33333333,,,,4.333333333,,3,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,0.666666667
91,,2.333333333,,,,,,,,,,,,,,,,,,,
92,,,,,,,,2,,,,,,,,,,,,,
93,2,3.333333333,3.666666667,,2.333333333,3.333333333,,,,,3.333333333,,,4.333333333,7,,,5,2,1.666666667,
94,1,7,4.666666667,,3,5.333333333,5.333333333,,,1.333333333,7,,4.333333333,0.666666667,2.666666667,,,3.333333333,3.666666667,2,3
95,,,,,1.666666667,,,,,,,,,,,,,,,,
96,,,0.666666667,2.333333333,1.666666667,,2.666666667,4,,2.666666667,,,,,,,,,,,
97,,,0.666666667,,,,,,,,,,,,,,,,,,
98,,,,,1,1.333333333,1,,,,,,0.666666667,,,,,,,,0.666666667
99,0.666666667,2.333333333,0.333333333,,,1.333333333,,,,,,,,,,,,,,,
100,,,,,,,3,,,,2.333333333,,,,,,,,,,
101,,,1,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,1,1,,,,,1,,,
103,,,,3.333333333,,,,,,0.666666667,,,,,,,,,,,
104,,,,,,,3.333333333,,,,,,,,,,,,,,
105,,0.333333333,,,0.333333333,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,0.333333333,,,,,,,,
107,,,,,,,,1.333333333,,5.666666667,,,,,,,3.333333333,,,,0.666666667
108,,,,,,,,,,0.333333333,,,,,,,,,,,
109,,,,0.666666667,,,,,,1.333333333,,0.333333333,,,,,,,,,
110,,,,,,,,,,1.666666667,,,,,,,1.333333333,,,,
111,,,,,1,,,,,0.666666667,,,,,,,,,,,
112,,,,,,,1.333333333,,,0.666666667,,,1.333333333,,,,,,,,2
113,,,,,,0.333333333,,,,1,,,,,,,,,,,1
114,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,2,,,,,,,,,,,,,1.666666667
116,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,1.666666667,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,0.333333333,,,,,,,
120,,1.333333333,,,0.666666667,,,,,,,,1.666666667,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,0.333333333,,,,14.66666667,,,0.333333333,,,,
123,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,
125,,,1.333333333,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,1,,,,,,,,
127,,,,,,,,,,2,,,,0.666666667,,,,1,,,3.666666667
128,,,,,,,,,,0.333333333,,,,0.333333333,,,,,,,
129,,,,,,,,,,,,,,1.666666667,,,,,,,
130,,,,,,1,,,,,,,3,,,,2.333333333,1.333333333,0.666666667,0.666666667,2.333333333
131,0.333333333,,,,,,,,,,,,,,,,,,,,
132,,3.333333333,,,,,,0.333333333,,,,,0.333333333,,2.333333333,,,,,,
133,,1.333333333,,,,,,,,,1.666666667,,0.666666667,,,,1,,,,
134,,7.333333333,,,,1,11.33333333,,,,,,,,,,,,,,
135,4.333333333,3.666666667,5.666666667,,5.333333333,4,2.666666667,1,,1,8.333333333,3.333333333,4.666666667,,,,3.666666667,2.333333333,,3,
136,,3.333333333,3.333333333,,1,2,,,,,2.666666667,,,,,,,,1.333333333,,
137,,,,,,,1,0.666666667,,,,,,,,,,,1,,
138,,,,,1.333333333,,,0.333333333,,1.333333333,,,0.666666667,,,,,,0.666666667,,0.666666667
139,0.666666667,,0.666666667,1,,,,0.333333333,,1.333333333,,1.666666667,,0.333333333,0.666666667,,,0.333333333,0.666666667,,
140,,,1,,,1,,,,,0.333333333,,1.666666667,,,,1.333333333,1.333333333,,,
141,,,,,,,,,,,,,,,,,,,0.666666667,,
142,,,,,1.333333333,,,,,1,,4.666666667,,6.333333333,3.333333333,,,,1.666666667,3,
143,,,0.666666667,,,0.333333333,,,,,,1,1,1.666666667,,,,,,,
144,,,5,,0,,,0.666666667,,,,1.333333333,9,1,,,,,2.333333333,,6.666666667
145,,,,0.666666667,,4.666666667,,,,,,,,,,,,,,,
146,12.33333333,6,9,0.666666667,12,8,9.333333333,6.333333333,,6.333333333,6,5.666666667,,,8.333333333,,4.333333333,11,8,22.33333333,
147,,,,1,,,,,,,,,,,,,,,,,
148,,,,1.333333333,0.333333333,0.666666667,,,,,,,2,,1,,,,0.333333333,,
149,,,2.333333333,,,0.333333333,,,,,0.333333333,,,,,,,,,,
150,,,,,,,,,,,0.666666667,,,,,,,,0.333333333,,
